name,slug,hq_city,hq_state,hq_country,description,founded_year,team_size,logo_url,category,category_slug,parent_group
Agritrade for Export & Trading Agencies,agritrade-for-export-trading-agencies,Cairo,,Egypt,"Agritrade is a key player in the agricultural trade industry, specializing in the sourcing and delivery of essential products, including a diverse portfolio of fertilizers. With a commitment to quality and sustainability, Agritrade ensures reliable supply chain solutions and custom fertilizer blends to meet the needs of clients worldwide.",2018,11-50,https://ui-avatars.com/api/?name=Agritrade+for+Export+&+Trading+Agencies&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
Hydrogreen Landscaping,hydrogreen-landscaping,Cairo,,Egypt,"Hydrogreen specializes in landscaping and irrigation systems, offering a comprehensive range of planting supplies, including trees, palms, shrubs, and grass. Their expertise in designing customized irrigation systems ensures the preservation and beauty of lawns, making them a trusted source for high-quality landscaping services.",1982,11-50,https://ui-avatars.com/api/?name=Hydrogreen+Landscaping&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
Inagrotiba,inagrotiba,Egypt,,Egypt,"InagroTiba is a manufacturer based in Egypt that specializes in producing high-quality dehydrated herbs and vegetables. Their strategic partnership with Green Hills enhances their ability to export a diverse range of dehydrated products, which may indicate a focus on sustainable agricultural practices that could relate to fertilizer use in their supply chain.",,1-10,https://ui-avatars.com/api/?name=Inagrotiba&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
Agrocorp for Agricultural Investment,agrocorp-for-agricultural-investment,Cairo,,Egypt,"Agrocorp is a manufacturer that specializes in high-quality processed food products, particularly artichokes. With a strong commitment to safety and quality, the company has invested in advanced manufacturing technologies and traceability systems.",2004,1001-5000,https://ui-avatars.com/api/?name=Agrocorp+for+Agricultural+Investment&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
Justsbr,justsbr,Cairo,,Egypt,"The company specializes in the apparel and fashion sector, aiming to enhance customer experiences through a curated selection of premium brands. They feature Just SBR, a local Egyptian fashion brand offering high-quality women's wear, including a diverse collection of pants, tops, and jackets.",1989,501-1000,https://ui-avatars.com/api/?name=Justsbr&background=4F46E5&color=fff&size=200&bold=true,Clothing,clothing,Textiles & Apparel
Corporate Fashion By Bishara,corporate-fashion-by-bishara,Cairo,,Egypt,"The company specializes in high-quality uniforms and workwear, emphasizing fit, functionality, style, comfort, and durability, making their garments suitable for various uniform programs. With a focus on custom design and corporate image consulting, they have been a leader in corporate uniforms since 1999, serving prestigious clients across multiple sectors.",1999,501-1000,https://ui-avatars.com/api/?name=Corporate+Fashion+By+Bishara&background=4F46E5&color=fff&size=200&bold=true,Clothing,clothing,Textiles & Apparel
T&C Garments,tc-garments,El Obour,,Egypt,"T&C Garments specializes in manufacturing denim garments for leading global brands, highlighting its commitment to innovation and quality through advanced technology and a skilled team. With a production capacity of 18,000 pieces daily, it ranks among the top apparel exporting companies worldwide.",2010,5001-10000,https://ui-avatars.com/api/?name=T&C+Garments&background=4F46E5&color=fff&size=200&bold=true,Clothing,clothing,Textiles & Apparel
MEN'S CLUB,mens-club,Cairo,,Egypt,"Men's Club is a specialized menswear manufacturer that offers a wide variety of clothing, including T-shirts, jackets, pants, and shirts, all designed to reflect the latest fashion trends.",1995,1001-5000,https://ui-avatars.com/api/?name=MEN'S+CLUB&background=4F46E5&color=fff&size=200&bold=true,Clothing,clothing,Textiles & Apparel
LOTUS GARMENTS CO.,lotus-garments-co,Port Said,,Egypt,"LOTUS GARMENTS CO. is a leading manufacturer of jeans and apparel, producing over 20 million units annually for top brands like Levi’s and Polo Ralph Lauren. They specialize in denim and non-denim bottoms for men, women, and kids, emphasizing innovation and sustainability in their production processes.",1994,10001+,https://ui-avatars.com/api/?name=LOTUS+GARMENTS+CO.&background=4F46E5&color=fff&size=200&bold=true,Clothing,clothing,Textiles & Apparel
Calik Alexandria For Ready Made Garments,calik-alexandria-for-ready-made-garments,Egypt,,Egypt,"Çalık Alexandria for Ready Made Garments is a prominent manufacturer of fashionable ready-made clothing, with a significant production capacity of 250,000 denim pieces and 300,000 knitted items per month. Their strong supply chain and commitment to quality enable them to meet diverse customer tastes at competitive prices.",2006,1001-5000,https://ui-avatars.com/api/?name=Calik+Alexandria+For+Ready+Made+Garments&background=4F46E5&color=fff&size=200&bold=true,Clothing,clothing,Textiles & Apparel
2S HomeWear,2s-homewear,Cairo,,Egypt,"2S Egypt is a prominent retailer in Egypt that specializes in home wear products, offering a wide range of clothing items including pajamas, leggings, and thermal wear for women, men, and kids. Their commitment to quality and variety ensures that customers have access to over 1,200 products, making it a key destination for diverse clothing needs.",1985,251-500,https://ui-avatars.com/api/?name=2S+HomeWear&background=4F46E5&color=fff&size=200&bold=true,Clothing,clothing,Textiles & Apparel
SHEEBA INTERNATIONAL GARMENTS,sheeba-international-garments,Port Said,,Egypt,"Sheeba Garments is a prominent manufacturer and exporter of high-quality apparel in Egypt, serving primarily the US and European markets. The company emphasizes advanced machinery and technical expertise to maintain superior manufacturing standards.",1991,1001-5000,https://ui-avatars.com/api/?name=SHEEBA+INTERNATIONAL+GARMENTS&background=4F46E5&color=fff&size=200&bold=true,Clothing,clothing,Textiles & Apparel
Mlameh,mlameh,Talkha,,Egypt,"Mlameh Fashion is a well-established Egyptian brand that specializes in stylish clothing for women and children, offering a diverse range of apparel to meet various fashion needs. Their collection includes trendy options for every occasion, highlighting new arrivals and exclusive seasonal styles.",1983,501-1000,https://ui-avatars.com/api/?name=Mlameh&background=4F46E5&color=fff&size=200&bold=true,Clothing,clothing,Textiles & Apparel
Embrator,embrator,El Obour,,Egypt,"Embrator, a brand under Sammakia Bros. Co., specializes in the production of circular knitting-based clothing, particularly men's underwear, home wear, and socks, while also offering a modern line of streetwear for youth. They emphasize high-quality materials, such as Egyptian cotton, and a commitment to comfort and innovation in their diverse product range.",1996,1001-5000,https://ui-avatars.com/api/?name=Embrator&background=4F46E5&color=fff&size=200&bold=true,Clothing,clothing,Textiles & Apparel
Jodyshop Shopping,jodyshop-shopping,Cairo,,Egypt,"Jodyshop is a dedicated online marketplace that offers a diverse selection of clothing, including a Thanksgiving shirt for women. With a focus on fashion for all ages and detailed product reviews, the company helps customers make informed purchasing decisions.",2018,1-10,https://ui-avatars.com/api/?name=Jodyshop+Shopping&background=4F46E5&color=fff&size=200&bold=true,Clothing,clothing,Textiles & Apparel
B2B Matchmaking,b2b-matchmaking,Cairo,,Egypt,"B2B Matchmaking is a service provider that enhances trade and consulting within Africa, creating communication channels between exporters and importers. They also organize events, which may include showcasing products like the PORTO T-SHIRT.",2007,11-50,https://ui-avatars.com/api/?name=B2B+Matchmaking&background=4F46E5&color=fff&size=200&bold=true,Clothing,clothing,Textiles & Apparel
Wajoor,wajoor,Cairo,,Egypt,"The company is an e-commerce platform focused on fashion, offering a diverse range of apparel and accessories for women. Their collection includes various styles, from dresses and tops to jackets and sweaters, catering to different fashion preferences and trends.",,1-10,https://ui-avatars.com/api/?name=Wajoor&background=4F46E5&color=fff&size=200&bold=true,Clothing,clothing,Textiles & Apparel
Evergrow Group,evergrow-group,Giza,,Egypt,"The company, EverGrow, produces one million tons of specialty fertilizers and chemicals annually, including significant quantities of potassium sulfate, calcium chloride, and NPK. They emphasize high-quality standards and sustainable practices, highlighting the crucial role of fertilizers in enhancing agricultural productivity to meet global food demands.",2006,5001-10000,https://ui-avatars.com/api/?name=Evergrow+Group&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
Suez Company For Fertilizers Production SCFP,suez-company-for-fertilizers-production-scfp,Suez,,Egypt,"SCFP is a manufacturer that specializes in producing a variety of agricultural fertilizers, such as single super phosphate, ammonium sulfate, and di calcium phosphate. The company's commitment to enhancing the fertilizers industry is evident through its focus on customer satisfaction and extensive market research.",2002,251-500,https://ui-avatars.com/api/?name=Suez+Company+For+Fertilizers+Production+SCFP&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
AlexFert,alexfert,Alexandria,,Egypt,"AlexFert is an Egyptian joint stock company that specializes in the production of nitrogen-based fertilizers, primarily Granular Urea and Anhydrous Ammonia. With a strong production capacity and a commitment to sustainable practices, AlexFert positions itself as a key supplier in the fertilizer market, targeting European, American, and African markets.",2003,251-500,https://ui-avatars.com/api/?name=AlexFert&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
KGSIndustry,kgsindustry,Cairo,,Egypt,"KGS Industry specializes in agricultural fertilizers that are crucial for enhancing soil fertility and boosting crop productivity. Their products are designed for rapid growth and sustainable farming practices, making them a leading provider of fertilizers in Egypt.",2011,501-1000,https://ui-avatars.com/api/?name=KGSIndustry&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
Tetra Group Fertilizers,tetra-group-fertilizers,Cairo,,Egypt,"The company specializes in producing high-quality specialty fertilizers for fertigation and foliar nutrition, offering a wide range of liquid and water-soluble products that cater to various crop needs. Their commitment to quality and innovation establishes them as a leader in the fertilizer sector.",,11-50,https://ui-avatars.com/api/?name=Tetra+Group+Fertilizers&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
Kayan Group,kayan-group,Alexandria,,Egypt,"The company specializes in agribusiness, focusing on providing a range of products and services aimed at enhancing food production and improving crop quality for farmers. With expertise in agrochemicals and fertilizers, the company leverages advanced technologies to support farmers in achieving their goals.",2017,11-50,https://ui-avatars.com/api/?name=Kayan+Group&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
Egyptian French Company for Plant Tissue Culture S.A.E,egyptian-french-company-for-plant-tissue-culture-sae,Cairo,,Egypt,"The Egyptian French Company for Plant Tissue Culture S.A.E (EFC Plants) specializes in plant tissue culture and research, focusing on the micropropagation of various plants.",2019,51-100,https://ui-avatars.com/api/?name=Egyptian+French+Company+for+Plant+Tissue+Culture+S.A.E&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
Future for Agricultural Materials,future-for-agricultural-materials,Egypt,,Egypt,"Future for Agricultural Materials (FAMCO) in Egypt specializes in fertilizers, offering high-quality products designed to enhance crop quality and yield. Their expertise and skilled team ensure farmers have access to essential agricultural materials that support effective crop production.",2009,11-50,https://ui-avatars.com/api/?name=Future+for+Agricultural+Materials&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
Eco Agro Science,eco-agro-science,Cairo,,Egypt,"Eco Agro is a manufacturer that specializes in innovative fertilizers, particularly highlighting their Eco Fol product, which is an integral fertilizer containing essential macro and micro elements. This high-solubility fertilizer promotes plant growth at all stages, making it ideal for vegetables, field crops, and early fruit development.",,51-100,https://ui-avatars.com/api/?name=Eco+Agro+Science&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
RAWAG for Industry and Trade,rawag-for-industry-and-trade,Cairo,,Egypt,"RAWAG Business is a specialized manufacturer and supplier of fertilizers, particularly focusing on Single Super Phosphate and other mineral products like Rock Phosphate and Limestone. With nearly 15 years of experience and ISO 9001 certification, the company ensures high-quality agricultural inputs for expanding markets.",2004,251-500,https://ui-avatars.com/api/?name=RAWAG+for+Industry+and+Trade&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
Justsbr,justsbr,Cairo,,Egypt,"The company specializes in the apparel and fashion sector, aiming to enhance customer experiences through a curated selection of premium brands. They feature Just SBR, a local Egyptian fashion brand offering high-quality women's wear, including a diverse collection of pants, tops, and jackets.",1989,501-1000,https://ui-avatars.com/api/?name=Justsbr&background=4F46E5&color=fff&size=200&bold=true,Clothing,clothing,Textiles & Apparel
Corporate Fashion By Bishara,corporate-fashion-by-bishara,Cairo,,Egypt,"The company specializes in high-quality uniforms and workwear, emphasizing fit, functionality, style, comfort, and durability, making their garments suitable for various uniform programs. With a focus on custom design and corporate image consulting, they have been a leader in corporate uniforms since 1999, serving prestigious clients across multiple sectors.",1999,501-1000,https://ui-avatars.com/api/?name=Corporate+Fashion+By+Bishara&background=4F46E5&color=fff&size=200&bold=true,Clothing,clothing,Textiles & Apparel
T&C Garments,tc-garments,El Obour,,Egypt,"T&C Garments specializes in manufacturing denim garments for leading global brands, highlighting its commitment to innovation and quality through advanced technology and a skilled team. With a production capacity of 18,000 pieces daily, it ranks among the top apparel exporting companies worldwide.",2010,5001-10000,https://ui-avatars.com/api/?name=T&C+Garments&background=4F46E5&color=fff&size=200&bold=true,Clothing,clothing,Textiles & Apparel
MEN'S CLUB,mens-club,Cairo,,Egypt,"Men's Club is a specialized menswear manufacturer that offers a wide variety of clothing, including T-shirts, jackets, pants, and shirts, all designed to reflect the latest fashion trends.",1995,1001-5000,https://ui-avatars.com/api/?name=MEN'S+CLUB&background=4F46E5&color=fff&size=200&bold=true,Clothing,clothing,Textiles & Apparel
LOTUS GARMENTS CO.,lotus-garments-co,Port Said,,Egypt,"LOTUS GARMENTS CO. is a leading manufacturer of jeans and apparel, producing over 20 million units annually for top brands like Levi’s and Polo Ralph Lauren. They specialize in denim and non-denim bottoms for men, women, and kids, emphasizing innovation and sustainability in their production processes.",1994,10001+,https://ui-avatars.com/api/?name=LOTUS+GARMENTS+CO.&background=4F46E5&color=fff&size=200&bold=true,Clothing,clothing,Textiles & Apparel
Calik Alexandria For Ready Made Garments,calik-alexandria-for-ready-made-garments,Egypt,,Egypt,"Çalık Alexandria for Ready Made Garments is a prominent manufacturer of fashionable ready-made clothing, with a significant production capacity of 250,000 denim pieces and 300,000 knitted items per month. Their strong supply chain and commitment to quality enable them to meet diverse customer tastes at competitive prices.",2006,1001-5000,https://ui-avatars.com/api/?name=Calik+Alexandria+For+Ready+Made+Garments&background=4F46E5&color=fff&size=200&bold=true,Clothing,clothing,Textiles & Apparel
2S HomeWear,2s-homewear,Cairo,,Egypt,"2S Egypt is a prominent retailer in Egypt that specializes in home wear products, offering a wide range of clothing items including pajamas, leggings, and thermal wear for women, men, and kids. Their commitment to quality and variety ensures that customers have access to over 1,200 products, making it a key destination for diverse clothing needs.",1985,251-500,https://ui-avatars.com/api/?name=2S+HomeWear&background=4F46E5&color=fff&size=200&bold=true,Clothing,clothing,Textiles & Apparel
SHEEBA INTERNATIONAL GARMENTS,sheeba-international-garments,Port Said,,Egypt,"Sheeba Garments is a prominent manufacturer and exporter of high-quality apparel in Egypt, serving primarily the US and European markets. The company emphasizes advanced machinery and technical expertise to maintain superior manufacturing standards.",1991,1001-5000,https://ui-avatars.com/api/?name=SHEEBA+INTERNATIONAL+GARMENTS&background=4F46E5&color=fff&size=200&bold=true,Clothing,clothing,Textiles & Apparel
Mlameh,mlameh,Talkha,,Egypt,"Mlameh Fashion is a well-established Egyptian brand that specializes in stylish clothing for women and children, offering a diverse range of apparel to meet various fashion needs. Their collection includes trendy options for every occasion, highlighting new arrivals and exclusive seasonal styles.",1983,501-1000,https://ui-avatars.com/api/?name=Mlameh&background=4F46E5&color=fff&size=200&bold=true,Clothing,clothing,Textiles & Apparel
Embrator,embrator,El Obour,,Egypt,"Embrator, a brand under Sammakia Bros. Co., specializes in the production of circular knitting-based clothing, particularly men's underwear, home wear, and socks, while also offering a modern line of streetwear for youth. They emphasize high-quality materials, such as Egyptian cotton, and a commitment to comfort and innovation in their diverse product range.",1996,1001-5000,https://ui-avatars.com/api/?name=Embrator&background=4F46E5&color=fff&size=200&bold=true,Clothing,clothing,Textiles & Apparel
